num_inferences,batch_size,tot_images,tot_time,FPS
1000,1,1000,2.558303541,390.88403075466016
1000,2,2000,4.913762542,407.0200753302906
1000,4,4000,9.011578917000001,443.87338077394537
1000,8,8000,17.1502885,466.4644562684762
1000,16,16000,33.314166208,480.2761654037071
1000,32,32000,65.240208959,490.4950568155031
1000,64,64000,128.905404916,496.4881033631212
1000,128,128000,255.93501300000003,500.1269599638561
