num_inferences,batch_size,tot_images,tot_time,FPS
1000,1,1000,1.33723905403167,747.8094488678588
1000,2,2000,1.3286123550496995,1505.3299725826994
1000,4,4000,1.3201483499724418,3029.9625038985205
1000,8,8000,1.934482336975634,4135.473272145346
1000,16,16000,3.1603715519886464,5062.695868760143
1000,32,32000,5.566103338031098,5749.08478277002
1000,64,64000,10.242260207887739,6248.620783009644
1000,128,128000,20.771238659042865,6162.367208865252
1000,256,256000,40.61490669497289,6303.104471533513
1000,512,512000,80.88192082103342,6330.215637841948
