num_inferences,batch_size,tot_images,tot_time,FPS
1000,1,1000,1.0281194399576634,972.6496369343805
1000,2,2000,1.0530707209836692,1899.2076791687912
1000,4,4000,1.0784075809642673,3709.1727382177396
1000,8,8000,1.7885226409416646,4472.965461476052
1000,16,16000,3.4942776809912175,4578.914860441572
1000,32,32000,6.749817932955921,4740.868615694108
1000,64,64000,13.462879769038409,4753.812044521528
1000,128,128000,26.711353706079535,4791.969789642935
1000,256,256000,52.84860105696134,4844.026045724045
1000,512,512000,106.02363959699869,4829.111714577412
