num_inferences,batch_size,tot_images,tot_time,FPS
1000,1,1000,1.0247682849876583,975.8303556516129
1000,2,2000,1.0392587590031326,1924.4485386088254
1000,4,4000,1.0488081017974764,3813.8530710667555
1000,8,8000,1.3336610370315611,5998.5256957092015
1000,16,16000,2.5708297989331186,6223.671441275466
1000,32,32000,4.991739703109488,6410.590676446199
1000,64,64000,9.711419753963128,6590.179564000648
1000,128,128000,20.414628192782402,6270.013775967492
1000,256,256000,40.60352889215574,6304.870709143142
1000,512,512000,80.72895590215921,6342.210106377776
