num_inferences,batch_size,tot_images,tot_time,FPS
1000,1,1000,1.052713372046128,949.9261874638578
1000,2,2000,1.0393116699997336,1924.3505656012817
1000,4,4000,1.0532778261695057,3797.6684789301485
1000,8,8000,1.3223872140515596,6049.665268230642
1000,16,16000,2.566295890836045,6234.666881996814
1000,32,32000,4.987375027034432,6416.200872511423
1000,64,64000,9.70220992108807,6596.435298817222
1000,128,128000,20.416654764907435,6269.391409801817
1000,256,256000,40.51048882910982,6319.351047081042
1000,512,512000,80.8020627500955,6336.471899034469
